id,name,population,employed,unemployed,underemployed,hectares,sqkm,year,class
1,Agao,691,346,242,104,5.334,0.0533,2010,Urban
2,Agusan Peque?,16650,"8,325","5,828","2,498",138.614,1.3861,2010,Rural
3,Ambago,18707,"9,354","6,547","2,806",696.406,6.9641,2010,Rural
4,Amparo,5185,"2,593","1,815",778,1296.63,12.9663,2010,Rural
5,Ampayon,6564,"3,282","2,297",985,643.413,6.4341,2010,Rural
6,Anticala,4612,"2,306","1,614",692,6893.4,68.934,2010,Rural
7,Antongalon,16412,"8,206","5,744","2,462",695.267,6.9527,2010,Rural
8,Aupagan,15236,"7,618","5,333","2,285",850.188,8.5019,2010,Rural
9,Baan KM. 3,638,319,223,96,1026.83,10.2683,2010,Rural
10,Baan Riverside,15340,"7,670","5,369","2,301",57.98,0.5798,2010,Urban
11,Babag,14909,"7,455","5,218","2,236",279.431,2.7943,2010,Rural
12,Bading,1865,933,653,280,102.872,1.0287,2010,Urban
13,Bancasi,4394,"2,197","1,538",659,1053.63,10.5363,2010,Rural
14,Banza,13831,"6,916","4,841","2,075",522.008,5.2201,2010,Rural
15,Baobaoan,9646,"4,823","3,376","1,447",1244.11,12.4411,2010,Rural
16,Basag,12741,"6,371","4,459","1,911",825.608,8.2561,2010,Rural
17,Bayanihan,14634,"7,317","5,122","2,195",139.093,1.3909,2010,Urban
18,Bilay,13058,"6,529","4,570","1,959",774.291,7.7429,2010,Rural
19,Bitan-agan,19347,"9,674","6,771","2,902",1128.52,11.2852,2010,Rural
20,Bit-os,19320,"9,660","6,762","2,898",1783.89,17.8389,2010,Rural
21,Bobon,15731,"7,866","5,506","2,360",476.478,4.7648,2010,Rural
22,Bonbon,20259,"10,130","7,091","3,039",1291.47,12.9147,2010,Rural
23,Bugabus,11121,"5,561","3,892","1,668",639.416,6.3942,2010,Rural
24,Bugsukan,19162,"9,581","6,707","2,874",1321.6,13.216,2010,Rural
25,Buhangin,17749,"8,875","6,212","2,662",149.975,1.4998,2010,Urban
26,Cabcabon,4225,"2,113","1,479",634,749.646,7.4965,2010,Rural
27,Camayahan,4330,"2,165","1,516",650,2837.52,28.3752,2010,Rural
28,Dagohoy,3305,"1,653","1,157",496,26.57,0.2657,2010,Urban
29,Dankias,21463,"10,732","7,512","3,219",933.371,9.3337,2010,Rural
30,De Oro,1045,523,366,157,873.12,8.7312,2010,Rural
31,Diego Silang,6773,"3,387","2,371","1,016",14.163,0.1416,2010,Urban
32,Don Francisco,2176,"1,088",762,326,639.053,6.3905,2010,Rural
